G3Sat		Mark 2:14-17	For the Departed: 1 Thessalonians 4:13-17; John 5:24-30	322
G3Sun		Mark 8:34-9:1		323
G4Mon				324
G4Tue				325
G4Wed				326
G4Thu				327
G4Fri				328
G4Sat		Mark 7:31-37	For the Departed: 1 Corinthians 15:47-57; John 5:24-30	329
G4Sun		Mark 9:17-31		330
G5Mon				331
G5Tue				332
G5Wed				333
G5Thu				334
G5Fri				335
G5Sat		Mark 8:27-31	For the Theotokos: Hebrews 9:1-7; Luke 10:38-42,11:27-28	336
G5Sun		Mark 10:32-45		337
G6Mon				338
G6Tue				339
G6Wed				340
G6Thu				341
G6Fri				342
G6Sat		John 11:1-45		343
G6Sun		John 12:1-18		344
G7Mon		<br>Liturgy of the Presanctified Gifts: Exodus 1:1-20; Job 1:1-12; Matthew 24:3-35		345
G7Tue		<br>Liturgy of the Presanctified Gifts: Exodus 2:5-10; Job 1:13-22; Matthew 24:36-26:2		346
G7Wed		<br>Liturgy of the Presanctified Gifts: Exodus 2:11-22; Job 2:1-10; Matthew 26:6-16	Office of Holy Unction: James 5:10-16; Luke 10:25-37; Romans 15:1-7; Luke 19:1-10; 1 Corinthians 12:27-31,13:1-8; Matthew 10:1,5-8; 2 Corinthians 6:16-7:1; Matthew 8:14-23; 2 Corinthians 8:1-11; Matthew 25:1-13; Galatians 5:22-6:1-2; Matthew 15:21-28; 1 Thessalonians 5:14-23; Matthew 9:9-13	347
G7Thu		<br>Vesperal Divine Liturgy: Exodus 19:10-19; Job 38:1-23,42:1-5; Isaiah 50:4-11; 1 Corinthians 11:23-32; Matthew 26:2-20; John 13:3-17; Matthew 26:21-39; Luke 22:43-45; Matthew 26:40-27:2		348
G7Fri		<br>The Royal Hours<br>1st Hour: Zechariah 11:10-13; Galatians 6:14-18; Matthew 27:1-56; <br>3rd Hour: Isaiah 50:4-11; Romans 5:6-11; Mark 15:16-41; <br>6th Hour: Isaiah 52:13-53:12; Hebrews 2:11-18; Luke 23:32-49; <br>9th Hour: Jeremiah 11:18-12:5,9-11,14-15; Hebrews 10:19-31; John 18:28-19:37; <br>Great Vespers: Exodus 33:11-23; Job 42:12-17; Isaiah 52:13-54:1; 1 Corinthians 1:18-2:2; Matthew 27:1-38; Luke 23:39-43; Matthew 27:39-54; John 19:31-37; Matthew 27:55-61		349
G7Sat		<br>Vesperal Divine Liturgy: Genesis 1:1-13; Isaiah 60:1-16; Exodus 12:1-11; Jonah 1:1-4:11; Joshua 5:10-15; Exodus 13:20-15:19; Zephaniah 3:8-15; 3 Kingdoms 17:8-24; Isaiah 61:10-62:5; Genesis 22:1-18; Isaiah 61:1-9; 4 Kingdoms 4:8-37; Isaiah 63:11-64:6; Jeremiah 38:31-34; Daniel 3:1-90; Romans 6:3-11; Matthew 28:1-20		350
SatBX		Matthew 10:37-11:1		351
SunBX		John 3:13-17		352
SatAX		John 8:21-30		353
SunAX		Mark 8:34-9:1		354
F4EC		Matthew 5:14-19		355
F7EC		Matthew 5:14-19		356
SFF	11th of Luke	Luke 14:16-24; Matthew 22:14		357
SatBN		Luke 13:18-29		358
SunBN		Matthew 1:1-25		359
SatAN		Matthew 12:15-21		360
SunAN	The Holy Righteous Ones: Joseph the Betrothed, David the Prophet and King and James, the brother of the Lord	Matthew 2:13-23		361
SatBT		Matthew 3:1-6		362
SunBT		Mark 1:1-8		363
SatAT		Matthew 4:1-11		364
SunAT		Matthew 4:12-17		365
